Alaska,American,Delta,Frontier,Hawaiian,JetBlue,Southwest,Spirit,United,Virgin
0.74002721,0.94932651,0.96579666,0.8985394,0.78421489,0.67509048,0.51967983,0.48709537,0.90966242,0.83468615
0.87608747,0.33718146,0.72974319,0.8985394,0.87162795,0.48164825,0.62219609,0.58697885,0.95216861,0.83468615
0.96950551,0.7469838,0.41790975,0.62404194,0.81649517,0.96126848,0.1534337,0.73895612,0.9906198,0.83468615
0.32907095,0.94017993,0.44679469,0.94003184,0.84855469,0.9703444,0.70649263,0.74309929,0.31455917,0.83468615
0.97378248,0.9271336,0.93776139,0.99850208,0.89496303,0.96126848,0.7404906,0.79302882,0.97078038,0.83468615
0.99159727,0.91658296,0.4860811,0.99941943,0.72977277,0.10355909,0.39666751,0.28895803,0.86099754,0.83468615
0.05180812,0.55196171,0.97775257,0.41957946,0.5521274,0.70762561,0.69009854,0.66330557,0.9962995,0.93855102
0.76576313,0.70115418,0.29260203,0.95745922,0.81649517,0.96126848,0.68250331,0.35978901,0.64090862,0.83468615
0.71393442,0.93924289,0.99664325,0.95745922,0.87432358,0.44925036,0.98317746,0.35978901,0.47832859,0.16709738
0.55144975,0.6120957,0.11832066,0.95745922,0.93666218,0.95293827,0.94453969,0.62973497,0.46447745,0.98272536
0.6766787,0.43185176,0.05796517,0.95745922,0.92314104,0.99235364,0.77968472,0.98911624,0.95877296,0.49644506
0.8120033,0.17996864,0.84192216,0.95745922,0.88369439,0.67497641,0.79555646,0.84521448,0.49726503,0.98541846
0.97986865,0.97329353,0.98237457,0.95745922,0.84874094,0.87320735,0.90563277,0.89466089,0.92094817,0.98838322
0.60674014,0.94934672,0.41790975,0.95745922,0.88369439,0.96156339,0.3246047,0.59203636,0.47832859,0.85268788
0.99565052,0.57164846,0.60101594,0.95745922,0.88369439,0.47680915,0.87940842,0.94059029,0.98747296,0.81865627
0.76233066,0.96797068,0.97002418,0.95745922,0.88369439,0.94223328,0.88243046,0.97864577,0.81368735,0.81227792
0.77545956,0.64907369,0.55572998,0.95745922,0.916886,0.31761588,0.71797925,0.91634487,0.32205584,0.53904782
0.80222673,0.94968705,0.73682477,0.95745922,0.88760526,0.96126848,0.47525024,0.3621557,0.93860406,0.40479141
0.0037567,0.00021206,0.84632455,0.95745922,0.88369439,1,0.80582237,0.78483022,0.76696455,0.49131087
0.8880196,0.82362022,0.9913147,0.63692674,0.916886,0.96126848,0.74218189,0.71780305,0.76696455,0.16919826
0.69230978,0.86352012,0.72455706,0.94246037,0.88369439,0.80730921,0.79640417,0.80309316,0.76696455,0.62542749
0.6951653,0.1718176,0.81421131,0.95745922,0.81886995,0.91535609,0.5557201,0.98678448,0.76696455,0.79582633
0.95333269,0.82836589,0.62560552,0.95745922,0.87221424,0.99558547,0.9200657,0.95430437,0.75737289,0.1717991
0.95333269,0.96297735,0.72724907,0.91275522,0.88369439,0.52820752,0.47133148,0.43373216,0.79054936,0.83912338
0.97327039,0.98978408,0.50801431,0.95745922,0.2489519,0.96126848,0.96926542,0.47680915,0.76696455,0.83912338
0.47979351,0.65867609,0.78646039,0.95745922,0.88369439,0.8181346,0.70130921,0.9827469,0.76696455,0.59101429
0.87083254,0.1718176,0.08139219,0.99271655,0.95191704,0.40919843,0.98319184,0.97624383,0.76696455,0.69481342
0.78602342,0.97449985,0.33372171,0.95745922,0.50522981,0.89633131,0.9553976,0.57783692,0.76696455,0.95745922
0.93844944,0.58185913,0.69963282,0.07005987,0.89125743,0.84301573,0.55579417,0.94684433,0.76696455,0.63695449
0.95042723,0.28422494,0.5012625,0.80582237,0.89125743,0.15574034,0.28950692,0.94684433,0.76696455,0.78895035
0.95042723,0.81068542,0.69963282,0.80582237,0.94998817,0.58988742,0.87895167,0.53037256,0.85315705,0.86842109
0.95042723,0.15920971,0.48470977,0.80582237,0.50342745,0.97110792,0.99114914,0.82516634,0.76696455,0.54348734
0.79108534,0.47680915,0.99739346,0.80582237,0.45785275,0.79082078,0.70173008,0.32691311,0.97726539,0.95745922
0.95042723,0.92557891,0.55697151,0.80582237,0.45785275,0.55697151,0.75044368,0.74146943,0.76696455,0.39174097
0.08913846,0.4742503,0.98889837,0.80582237,0.45785275,0.61749045,0.70173008,0.71296333,0.96742586,0.95745922
0.95042723,0.73291054,0.98889837,0.63066716,0.45785275,0.96126848,0.92397761,0.82509997,0.76696455,0.95745922
0.90803376,0.97556952,0.89363967,0.90503197,0.69894098,0.95744374,0.75948534,0.71296333,0.76696455,0.82158748
0.88955169,0.64147458,0.98328069,0.81678716,0.47809902,0.70017682,0.81775189,0.87869289,0.99492752,0.54348734
0.5731635,0.87214958,0.78637808,0.76960993,0.5562015,0.91207035,0.19342298,0.99631605,0.76696455,0.95745922
0.63162164,0.61013269,4.23521e-5,0.76960993,0.34731103,0.90279734,0.83158747,2.91858e-5,0.74708963,0.39174097
0.88955169,0.95482266,0.80161359,0.8000105,0.959139,0.63695449,0.63090937,0.66719819,0.95877296,0.81285971
0.72593198,0.67459677,0.57514396,0.17197845,0.959139,0.84060413,0.99498283,0.9823491,0.76696455,0.95745922
0.58491179,0.44757835,0.9975438,0.44319629,0.959139,0.87594301,0.57322467,0.67600448,0.76696455,0.54348734
0.9730048,0.26726567,0.94379536,0.44319629,0.959139,0.76153435,1,0.45880857,0.78575082,0.27719665
0.73584627,0.57097739,0.94379536,0.17197845,0.86267528,0.847951,0.69660015,0.61773843,0.76696455,0.39174097
0.67663057,0.73926849,0.92628666,0.44319629,0.959139,0.71182825,0.89340182,0.73765775,0.95877296,0.95745922
0.75005019,0.71572827,0.59362224,0.40262006,0.55697151,0.60054345,0.92575849,0.67735219,0.50251748,0.71130694
0.90803376,0.95203453,0.9923713,0.73634358,0.90803376,0.88955169,0.15777862,0.82516634,0.09915401,0.54348734
0.90828398,0.86329723,0.92190744,0.67924624,0.93401592,0.75646028,0.54883135,0.55901119,0.55697151,0.39174097
0.97716698,0.96264543,0.88254557,0.10682887,0.75908142,0.63240309,0.8353034,0.48731023,0.09915401,0.96307633
0.97719686,0.76172679,0.76090363,0.97466977,0.91600465,0.6441701,0.99396988,0.65687524,0.14606043,0.3934436
0.94335025,0.04542299,0.43988717,0.72534866,0.96705226,0.93223379,0.97388212,0.36288135,0.28152089,0.94912747
0.59985717,0.98029324,0.67432012,0.5519543,0.22658949,0.96126848,0.93028205,0.80376279,0.78569526,0.96057758
0.96966387,0.00009062,0.82565055,0.64164935,0.43567593,0.55742795,0.85294144,0.61358574,0.98956645,0.8082796
0.59837047,0.99247962,0.6505278,0.42619564,0.60066819,0.75646028,0.67121821,0.982066,0.87491465,0.90456079
0.97668096,0.76172679,0.14096234,0.60342821,0.96087565,0.89103238,0.58445527,0.9972444,0.55697151,0.67067289
0.00025834,0.76172679,0.89340849,0.60342821,0.97524594,0.97727694,0.63695449,0.9667299,0.55697151,0.67067289
0.48785489,0.73385692,0.91772723,0.69465224,0.97524594,0.95161589,0.99993554,0.88884527,0.99577819,0.18041919
0.57097739,0.38951532,0.84734145,0.69465224,0.97524594,0.71326611,0.70201257,0.71064732,0.89311864,0.44434409
0.77960397,0.92868348,0.67432012,0.69465224,0.96678196,0.92961825,0.89670334,0.89162614,0.50251748,0.89764431
0.92120187,0.79938259,0.14096234,0.61783288,0.75573554,0.84301573,0.97386176,0.67118952,0.99506532,0.89046113
0.79060069,0.1718176,0.188579,0.41420958,0.88955169,0.96126848,0.55572998,0.95017835,0.79094813,0.72281938
0.91088265,0.90522776,0.6369568,0.72797644,0.54300349,0.73843109,0.73324319,0.96634665,0.47970366,0.67067289
0.45839641,0.97229106,0.6369568,0.63066716,0.54300349,0.05779449,0.97386176,0.92303384,0.75765577,0.44674773
0.96048583,0.06673809,0.6369568,0.69465224,0.78124561,0.78327592,0.76552268,0.62513695,0.90578137,0.66617378
0.3989361,0.99890471,0.6369568,0.6377981,0.77307912,0.7068388,0.97386176,0.9353849,0.7514891,0.55498177
0.59465672,0.78895035,0.6369568,0.73143591,0.9514748,0.88799773,0.55572998,0.27013259,0.75737289,0.65446406
0.6179769,0.55630517,0.6369568,0.86133828,0.9514748,0.7068388,0.81440789,0.9992089,0.81299202,0.82213942
0.92258936,0.89618999,0.6369568,0.51966236,0.44240923,0.12911348,0.55572998,0.21460966,0.55697151,0.97708899
0.51342427,0.95580153,0.95130924,0.65947825,0.44240923,0.98296059,0.52959038,0.88311656,0.92877086,0.43914075
0.70346232,0.93895521,0.98020864,0.97264953,0.96087565,0.66653839,0.97386176,0.89972656,0.61344347,0.86892077
0.93119101,0.89213914,0.93995569,0.94050698,0.72096231,0.92554377,0.85771136,0.85653696,0.76696455,0.63171704
0.93119101,0.3703653,0.6369568,0.6682831,0.86120804,0.45085172,0.75228941,0.97621018,0.88788927,0.3830813
0.93119101,0.67459677,0.75206945,0.74983266,0.76201888,0.90803376,0.96605076,0.18729093,0.88925857,0.90022347
0.93119101,0.93895521,0.6369568,0.91859062,0.07127679,0.51842665,0.55572998,0.89972656,0.55697151,0.93080428
0.93119101,0.45678807,0.188579,0.83918007,0.959139,0.65804631,0.86824159,0.85671259,0.80778789,0.18024921
0.93119101,0.67459677,0.01759325,0.73467252,0.959139,0.40930964,0.21116956,0.85671259,0.60603842,0.9175829
0.93119101,0.5287358,0.6369568,0.38208921,0.82985077,0.72979643,0.89175362,0.89648825,0.92249432,0.42145337
0.93119101,0.75595514,0.94722305,0.42744333,0.959139,0.35286486,0.41308661,0.48476722,0.95877296,0.91992069
0.93119101,0.16981485,0.90563448,0.62127889,0.40262006,0.23918553,0.21949358,0.49481019,0.54544672,0.94566604
0.93119101,0.71893399,0.21757916,0.99261506,0.959139,0.94196435,0.88293373,0.87707844,0.73682477,0.41139779
0.93119101,0.93880314,0.20707953,0.53417662,0.54236816,0.88109913,0.69327178,0.46659733,0.14606043,0.32849497
0.40764727,0.16981485,0.42949545,0.99601458,0.9214505,0.59302143,0.8353034,0.99851899,0.91046208,0.84300514
0.93119101,0.49700754,0.00018043,0.9726466,0.79292704,0.75690216,0.62536892,0.96171795,0.75049612,0.86725695
0.93119101,0.94747145,0.34779629,0.93744196,0.72731056,0.66261513,0.71917439,0.92606171,0.91768494,0.59101429
0.93119101,0.64430074,0.67655836,0.69465224,0.1038705,0.94496092,0.86824159,0.80759062,0.82066361,0.40930964
0.93119101,0.31742518,0.69895151,0.71464257,0.51319693,0.83525937,0.30156427,0.19985993,0.86833423,0.71244939
0.93119101,0.89854669,0.38323966,0.26253388,0.51319693,0.51780996,0.98335729,0.85848215,0.00061644,0.791201
0.93119101,0.93880314,0.99642169,0.60535298,0.40262006,0.87390213,0.00016321,0.73372994,0.33410204,0.23983579
0.93119101,0.93880314,0.79743346,0.60535298,0.94092358,0.28517189,0.79984726,0.5500815,0.72938212,0.79862457
0.93119101,0.46583084,0.6369568,0.86528296,0.94092358,0.98222801,0.9648365,0.73797886,0.79621115,0.84300514
0.93119101,0.98567965,0.6369568,0.60523831,0.49909,0.98222801,0.88526785,0.84479668,0.85893955,0.84300514
0.93119101,0.99408529,0.42916714,0.9210733,0.62793311,0.83299446,0.9648365,0.94327057,0.50251748,0.84300514
0.93119101,0.92544586,0.98070905,0.34982012,0.94092358,0.97037604,0.78556558,0.86221736,0.81149138,0.65351592
0.93119101,0.72724907,0.63333712,0.36762248,0.94092358,0.6026119,0.97517801,0.92949121,0.96522022,0.84300514
0.80402921,0.67797473,0.7243774,0.72880143,0.40262006,0.81400247,0.96954274,0.5562953,0.00465119,0.94768505
0.93119101,0.92625866,0.81717144,0.3873797,0.8155659,0.99510069,5.85869e-5,0.76838956,0.33410204,0.84300514
0.93119101,0.47118447,0.91183106,0.33897395,0.68381718,0.61303315,0.91372186,0.76838956,0.9776278,0.98158874
0.93119101,0.97295353,0.60387084,0.99928919,0.75834732,0.95745922,0.66081091,0.76838956,0.99965935,0.42501243
0.93119101,0.33442471,0.99818481,0.69465224,0.62664255,0.00061576,0.69631898,0.76838956,0.61643411,0.54893783
0.93119101,0.23720764,0.98706948,0.57771738,0.83895997,0.06103905,0.99702968,0.98705262,0.97872067,0.38833651
0.93119101,0.88990979,0.6369568,0.65629576,0.24583696,0.95745922,0.49170076,0.25884315,0.97943872,0.97884051
0.93119101,0.28414764,0.93995569,0.76960993,0.87560902,0.95745922,0.24852771,0.43422344,0.05549333,0.95745922
0.93119101,0.20079388,0.66138223,0.99761534,0.71478326,0.79204887,0.97262318,0.68725344,0.89621882,0.95745922
0.93119101,0.94106516,0.6369568,0.99761534,0.99335656,0.95745922,0.45736379,0.13343415,0.89621882,0.84275617
0.93119101,0.56964674,0.91772723,0.95700563,0.52226527,0.88258288,0.88731663,0.84834124,0.33410204,0.95745922
0.93119101,0.21618983,0.75050735,0.97136493,0.4721663,0.88955169,0.44845873,0.88013086,0.89621882,0.79956695
0.93119101,0.81354783,0.71866718,0.66144494,0.45272167,0.83667177,0.15753028,0.92021487,0.80516278,0.95745922
0.93119101,0.92503429,0.6369568,0.87987003,0.70185984,0.95745922,0.99830055,0.88433726,0.95570849,0.87295471
0.93119101,0.99316927,0.46320912,0.10108743,0.95934582,0.95745922,0.58318209,0.94228224,0.98380524,0.95745922
0.93119101,0.47293398,0.86852504,0.78668702,0.80484412,0.81568771,0.88717857,0.72002588,0.65046186,0.95745922
0.93119101,0.90803376,0.41790975,0.00154796,0.72305172,0.95745922,0.97062625,0.90670918,0.58502104,0.95745922
0.93119101,0.96378483,0.41735036,0.47680915,0.78589893,0.95745922,0.49354786,0.76422423,0.74952865,0.95745922
0.93119101,0.37958972,0.6369568,0.76960993,0.67845486,0.75758232,0.93194262,0.26037123,0.53156297,0.72417571
0.93119101,0.98331796,0.61468766,0.47680915,0.92424411,0.81878539,0.28620448,0.82739693,0.75178032,0.95745922
0.93119101,0.42198013,0.88047542,0.9959821,0.92424411,0.95745922,0.89677186,0.92095545,0.35008172,0.95745922
0.93119101,0.99964172,0.6369568,0.96234039,0.97739125,0.95745922,0.89677186,0.84589877,0.99298692,0.96698848
0.85712578,0.82286792,0.57514396,0.55697151,0.40262006,0.95745922,0.99012671,0.92399728,0.11659679,0.92983059
0.93119101,0.82836589,0.95265448,0.72745135,0.80052039,0.00019429,0.56114493,0.68350791,0.31927405,0.95745922
0.93119101,0.71582999,0.65536806,0.8298663,0.76075805,0.68096715,0.99001573,0.88220826,0.97374543,0.95745922
0.7679978,0.90580782,0.92540307,0.97678391,0.98252218,0.76838956,0.96148347,0.9362856,0.75737289,0.37746782
0.93119101,0.64900535,0.6369568,0.56832489,0.9440394,0.25243264,0.96148347,0.1638016,0.99462534,0.70879317
0.93236445,0.60846631,0.97365889,0.79891069,0.9440394,0.75797878,0.96148347,0.95897054,0.70552747,0.96698848
0.93119101,0.78327592,0.62712438,0.79384501,0.9440394,0.67130427,0.96148347,0.75280524,0.28169082,0.95745922
0.45809602,0.99613068,0.98763728,0.90037516,0.94579281,0.80582237,0.50134,0.48985889,0.83066534,0.95745922
0.93119101,0.63167748,0.80197593,0.33718146,0.96516546,0.80582237,0.96637103,0.87665627,0.43053959,0.26508389
0.93119101,0.99596204,0.97941918,0.92720652,0.48476722,0.55562134,0.87715281,0.66542169,0.48561897,0.95745922
0.93119101,0.4915608,0.6369568,0.70421274,0.91536384,0.80582237,0.70584317,0.93648278,0.92378352,0.96428376
0.93119101,0.68454536,0.79844922,0.76960993,0.95453103,0.80582237,0.96148347,0.81363428,0.74805958,0.76300581
0.80402921,0.22010579,0.90970103,0.90256806,0.89897616,0.80582237,0.94896838,0.93684643,0.74805958,0.11132972
0.93119101,0.76980137,0.54728329,0.38486479,0.98836185,0.80582237,0.9803195,0.48985889,0.31564038,0.96698848
0.93119101,0.45127265,0.54728329,0.90346049,0.95453103,0.82362893,0.96148347,0.87665627,0.75031819,0.80582237
0.93119101,0.7555472,0.6369568,0.98175803,0.89897616,0.80582237,0.99511894,0.61985198,0.89004688,0.95745922
0.93119101,0.49356536,0.99818481,0.1818297,0.89897616,0.80582237,0.95745922,0.96428548,0.98458046,0.80582237
0.93119101,0.97297432,0.56857266,0.84962207,0.89897616,0.80582237,0.95745922,0.35083976,0.78661317,0.80582237
0.93119101,0.96926274,0.97272604,0.66286323,0.89897616,0.8797791,0.95745922,0.2115496,0.95000955,0.80582237
0.93119101,0.32923877,0.48086435,0.87488838,0.89897616,0.77772714,0.95745922,0.69272075,0.50251748,0.96698848
0.93119101,0.77879018,0.70844835,0.70113951,0.87969235,0.72160963,0.69887785,0.7157242,0.73167353,0.84275617
0.97248331,0.15508535,0.96644343,0.00030432,0.87969235,0.96517184,0.95745922,0.9932054,0.81992213,0.95745922
0.93119101,0.49309794,0.71619803,0.00030432,0.87969235,0.95691089,0.48970895,0.45131227,0.73501545,0.1873838
0.93119101,0.32819063,0.92121059,0.53399248,0.4553195,0.97727472,0.95745922,0.43397532,0.72452712,0.80582237
0.93119101,0.99388228,0.72067454,0.89399273,0.87969235,0.09523997,0.95745922,0.7584426,0.78327592,0.80582237
0.56386425,0.94658959,0.34779629,0.29765074,0.87969235,0.62158237,0.95745922,0.45185711,0.59084025,0.80582237
0.93119101,0.28576342,0.6369568,0.89399273,0.77916035,0.86060692,0.95745922,0.87990702,0.86102267,0.95358474
0.48004061,0.88003166,0.56687685,0.99579526,0.63123299,0.27079753,0.95745922,0.26468277,0.99462534,0.80582237
0.99498628,0.67124469,0.83490681,0.91758441,0.71058563,0.06990497,0.62975595,0.00471383,0.6731683,0.80582237
0.93119101,0.38528392,0.54433823,0.37758767,0.71058563,0.71683989,0.66378557,0.91788414,0.75049612,0.80582237
0.99498628,0.73094453,0.68161421,0.59566146,0.87969235,0.98199559,0.95745922,0.49026123,0.28169082,0.80582237
0.93119101,0.67124469,0.4932929,0.59566146,0.87969235,0.78367966,0.95745922,0.98686548,0.4997375,0.83164629
0.93119101,0.23326967,0.60279149,0.59740399,0.55697151,0.96517184,0.00013663,0.88594055,0.96229978,0.80582237
0.93119101,0.19203207,0.84515952,0.88815974,0.92994273,0.96517184,0.94524265,0.87803475,0.5926497,0.67793543
0.89543212,0.57228744,0.6427477,0.69898938,0.92994273,0.57005119,0.52787856,0.62533612,0.5926497,0.20937945
0.80965192,0.9385441,0.75758048,0.3905526,0.07639622,0.51454839,0.439291,0.84911158,0.40930964,0.80582237
0.85289753,0.77493502,0.83208546,0.9844279,0.48476722,0.90665079,0.95745922,0.98879603,0.25097482,0.80582237
0.14800936,0.96249267,0.25690453,0.59478688,0.48476722,0.5148806,0.95745922,0.76629902,0.96916008,0.80582237
0.95601732,0.97803489,0.93485342,0.69918081,0.48476722,0.94249941,0.4171923,0.94529128,0.87814929,0.46226439
0.85289753,0.35702501,0.08237778,0.36586673,0.45592222,0.22151145,0.88051646,0.54963845,0.97195339,0.80582237
0.85289753,0.88213966,0.83831447,0.76960993,0.48476722,0.76713609,0.95745922,0.79037545,0.53635821,0.85179381
0.93119101,0.83480203,0.28127621,0.76960993,0.92803303,0.83168828,0.88051646,0.79857954,0.98240035,0.80582237
0.93119101,0.83751317,0.78895035,0.56887435,0.92803303,0.93396907,0.93128642,0.94564651,0.51468328,0.76912375
0.85289753,0.98748125,0.63700305,0.91053786,0.92803303,0.78907854,0.97375489,0.90840303,0.97195339,0.93119101
0.93119101,0.9236313,0.6369568,0.40262006,0.92803303,0.91391088,0.63462963,0.73781253,0.82384963,0.93119101
0.95601732,0.7836661,0.33447813,0.40262006,0.92803303,0.91391088,0.99200245,0.47907723,0.99995801,0.93119101
0.93119101,0.88955169,0.98968411,0.40262006,0.92803303,0.80220452,0.79523586,0.98967645,0.62610428,0.93119101
0.93119101,0.61665161,0.78895035,0.40262006,0.92803303,0.78327592,0.87860119,0.88728763,0.89311864,0.93119101
0.93119101,0.9297601,1,0.40262006,0.92803303,0.94247718,0.95745922,0.90006977,0.99741577,0.93119101
0.67058674,0.85168268,0.99076686,0.40262006,0.92803303,0.96429202,0.95745922,0.47092285,0.93671851,0.93119101
0.93119101,0.98517377,0.79944352,0.40262006,0.92803303,0.73482453,0.58327932,0.27611402,0.82855348,0.93119101
0.93119101,0.84392145,0.94168437,0.40262006,0.92803303,0.73482453,0.95979969,0.91179649,0.28169082,0.93119101
0.93119101,0.56896264,0.20792478,0.40262006,0.92803303,0.79135955,0.7196649,0.9702337,0.9992763,0.93119101
0.62163411,0.8823246,0.88171167,0.40262006,0.86309293,0.77205123,0.93119101,0.36769223,0.99379182,0.93119101
0.85289753,0.67124469,0.78895035,0.40262006,0.92803303,0.7551203,0.93119101,0.55748716,0.33410204,0.93119101
0.93119101,0.1189344,0.46664959,0.95059939,0.92803303,0.89732505,0.93119101,0.36769223,0.76696455,0.93119101
0.93119101,0.63695449,0.95723464,0.37758767,0.92803303,0.19986633,0.93119101,0.36769223,0.41629781,0.93119101
0.93119101,0.67124469,0.6369568,0.40262006,0.99851061,0.48164825,0.93119101,0.46642062,0.76696455,0.93119101
0.90813475,0.76782314,0.67395326,0.40262006,0.99851061,0.95340116,0.93119101,0.36769223,0.97195339,0.93119101
0.93119101,0.87364625,0.99055856,0.40262006,0.93471565,0.9872608,0.93119101,0.64683366,0.76696455,0.93119101
0.86949375,0.22774996,0.55462856,0.40262006,0.45592222,0.99588454,0.93119101,0.43343745,0.76696455,0.93119101
0.93119101,0.96152086,0.41790975,0.40262006,0.99851061,0.91669987,0.93119101,0.36769223,0.76696455,0.93119101
0.59621048,0.52042862,0.60622941,0.40262006,0.99851061,0.87073577,0.93119101,0.36769223,0.49726503,0.93119101
0.95601732,0.80151657,0.99666858,0.40262006,0.99851061,0.48665067,0.93119101,0.43343745,0.76696455,0.93119101
0.93119101,0.81946988,0.70762561,0.40262006,0.99851061,0.98053557,0.93119101,0.43343745,0.76696455,0.93119101
0.93119101,0.67124469,0.85181274,0.40262006,0.92803303,0.99311608,0.93119101,0.43343745,0.76696455,0.93119101
0.93119101,0.84392145,0.50474986,0.40262006,0.92803303,0.77640015,0.93119101,0.43343745,0.76696455,0.93119101
0.93119101,0.26432481,0.85786629,0.40262006,0.91694771,0.70425439,0.927139,0.36769223,0.64343398,0.93119101
0.95601732,0.74291025,0.88574942,0.40262006,0.92803303,0.79973197,0.93119101,0.36769223,0.74221059,0.93119101
